,City,Lat,Lng,Max Temp,Cloudiness,Windspeed,Date,Country,Humidity
0,Cape Town,-33.93,18.42,59.0,0,14.99,1604191961,ZA,58
1,Port Elizabeth,-33.92,25.57,64.4,75,8.05,1604191961,ZA,88
2,Kapaa,22.08,-159.32,82.4,75,8.05,1604191961,US,65
3,Hithadhoo,-0.6,73.08,83.89,100,8.52,1604191608,MV,69
4,Popondetta,-8.75,148.25,92.75,87,3.33,1604191962,PG,48
5,Mataura,-46.19,168.86,57.0,100,17.0,1604191962,NZ,75
6,Upernavik,72.79,-56.15,16.02,100,13.31,1604191962,GL,95
7,La Rioja,42.25,-2.5,55.0,0,8.08,1604191708,ES,93
8,Nago,26.59,127.98,78.8,1,11.41,1604191963,JP,64
9,Araouane,18.9,-3.53,82.81,100,7.58,1604191963,ML,15
10,Lebu,-37.62,-73.65,51.26,80,6.31,1604191963,CL,92
11,Ushuaia,-54.8,-68.3,48.2,75,6.93,1604191963,AR,87
12,Barber,12.28,-69.07,84.2,40,13.87,1604191964,CW,79
13,Muros,42.78,-9.06,64.0,100,13.0,1604191964,ES,91
14,Spokane,47.62,-117.37,51.8,1,3.36,1604191964,US,62
15,Tilichiki,60.47,166.1,26.89,100,7.27,1604191964,RU,94
16,Nantucket,41.28,-70.1,43.0,1,3.36,1604191713,US,55
17,Matamoros,25.53,-103.25,84.2,20,5.46,1604191965,MX,18
18,La Ronge,55.1,-105.28,17.6,0,2.24,1604191965,CA,85
19,Gezing,47.92,13.13,46.4,0,9.17,1604191965,AT,87
20,Castro,-24.79,-50.01,52.05,35,6.8,1604191965,BR,94
21,Punta Arenas,-53.15,-70.92,51.8,0,4.7,1604191887,CL,71
22,Denpasar,-8.65,115.22,80.6,41,0.65,1604191895,ID,67
23,Štětí,50.45,14.37,50.0,100,1.99,1604191966,CZ,92
24,Hobart,-42.88,147.33,66.0,75,10.29,1604191772,AU,67
26,Hermanus,-34.42,19.23,57.0,0,8.01,1604191967,ZA,81
27,Tuktoyaktuk,69.45,-133.04,-2.2,75,5.82,1604191967,CA,84
28,Iberia,29.95,-91.75,64.4,1,1.86,1604191967,US,67
29,Faanui,-16.48,-151.75,79.54,0,19.35,1604191967,PF,74
30,Kavieng,-2.57,150.8,85.35,1,9.89,1604191967,PG,72
31,Rikitea,-23.12,-134.97,76.08,0,7.36,1604191886,PF,67
32,Lakshmīpur,22.95,90.83,77.23,99,6.06,1604191968,BD,90
33,Praia da Vitória,38.73,-27.07,71.6,75,17.31,1604191968,PT,88
34,Leningradskiy,69.38,178.42,16.5,47,7.25,1604191923,RU,89
35,Bluff,-46.6,168.33,57.0,100,17.0,1604191968,NZ,75
36,Kandete,-9.15,33.8,58.53,0,0.92,1604191969,TZ,80
37,Mar del Plata,-38.0,-57.56,60.01,0,4.7,1604191888,AR,76
38,Kununurra,-15.77,128.73,91.4,14,4.7,1604191969,AU,63
39,Kahului,20.89,-156.47,87.8,40,11.41,1604191969,US,48
40,Busselton,-33.65,115.33,61.0,100,1.3,1604191970,AU,75
41,Ilulissat,69.22,-51.1,21.2,100,10.29,1604191604,GL,73
42,Dikson,73.51,80.55,18.7,99,6.26,1604191970,RU,98
43,Pitimbu,-7.47,-34.81,78.8,20,5.82,1604191953,BR,88
46,Jamestown,42.1,-79.24,39.99,1,10.29,1604191700,US,69
47,Bredasdorp,-34.53,20.04,48.2,2,3.36,1604191971,ZA,93
48,Westport,41.14,-73.36,44.6,75,12.75,1604191806,US,52
49,East London,-33.02,27.91,64.99,93,11.56,1604191971,ZA,73
50,Tommot,58.96,126.29,-1.48,94,1.3,1604191972,RU,89
51,Yeppoon,-23.13,150.73,86.0,50,5.82,1604191972,AU,48
52,Atuona,-9.8,-139.03,78.24,13,17.05,1604191972,PF,76
53,Departamento de Maldonado,-34.67,-54.92,55.4,0,4.7,1604191905,UY,87
54,Rio Grande,-32.03,-52.1,57.0,0,10.8,1604191693,BR,81
55,George Town,5.41,100.34,78.8,40,3.36,1604191891,MY,88
56,Nanortalik,60.14,-45.24,28.74,42,22.59,1604191973,GL,90
57,Anshun,26.25,105.93,57.54,100,4.14,1604191730,CN,97
58,Oriximiná,-1.77,-55.87,82.81,26,3.06,1604191973,BR,51
59,Inhambane,-23.86,35.38,71.83,55,10.96,1604191974,MZ,73
60,Hasaki,35.73,140.83,61.0,20,8.05,1604192019,JP,63
