,City,Lat,Lng,Max Temp,Cloudiness,Windspeed,Date,Country,Humidity
0,Chokurdakh,70.63,147.92,-4.45,97,0.83,1604027379,RU,93
1,Ponta do Sol,32.67,-17.1,68.0,20,10.29,1604027380,PT,68
2,Yellowknife,62.46,-114.35,17.01,86,5.99,1604027163,CA,85
3,Ushuaia,-54.8,-68.3,44.6,75,5.88,1604027277,AR,70
4,Busselton,-33.65,115.33,84.99,0,4.05,1604026946,AU,24
5,Punta Arenas,-53.15,-70.92,46.4,75,9.17,1604027279,CL,70
6,Castro,-24.79,-50.01,60.55,100,6.31,1604026788,BR,96
7,Hermanus,-34.42,19.23,45.0,44,1.01,1604027380,ZA,88
8,Atuona,-9.8,-139.03,78.3,81,16.13,1604026802,PF,71
9,Birao,10.28,22.79,73.11,14,2.37,1604027380,CF,44
10,Hobart,-42.88,147.33,64.0,40,19.46,1604027287,AU,59
11,Upernavik,72.79,-56.15,23.11,99,5.5,1604027335,GL,97
12,Bengkulu,-3.8,102.27,77.25,100,0.85,1604027381,ID,85
14,Cayenne,4.93,-52.33,80.6,40,5.82,1604027381,GF,88
15,Gwembe,-16.5,27.61,66.34,0,3.09,1604027381,ZM,56
16,Río Gallegos,-51.62,-69.22,51.8,40,10.29,1604026818,AR,43
17,Tabou,4.42,-7.35,76.78,100,7.23,1604027289,CI,90
18,Butaritari,3.07,172.79,82.09,49,10.83,1604027369,KI,75
19,Saint George,37.1,-113.58,62.6,1,3.36,1604027136,US,17
20,Cape Town,-33.93,18.42,50.0,0,4.7,1604027124,ZA,75
21,Kapaa,22.08,-159.32,80.6,1,8.05,1604027382,US,61
22,São Filipe,14.9,-24.5,80.11,1,9.08,1604027382,CV,70
23,Dudinka,69.41,86.18,7.34,90,11.7,1604027382,RU,92
24,Tsabong,-26.02,22.4,76.57,100,11.05,1604027382,BW,38
25,Guerrero Negro,27.98,-114.06,67.5,0,10.54,1604027382,MX,53
26,New Norfolk,-42.78,147.06,64.0,81,3.0,1604027382,AU,56
28,Arraial do Cabo,-22.97,-42.03,74.62,97,3.94,1604026826,BR,94
29,Yatou,37.15,122.38,62.89,0,8.84,1604027107,CN,40
30,Vaini,-21.2,-175.2,77.0,20,10.29,1604026788,TO,65
31,Carnarvon,-24.87,113.63,77.0,0,13.87,1604027383,AU,69
32,Rikitea,-23.12,-134.97,75.6,100,6.22,1604027277,PF,73
33,Kumluca,36.37,30.29,67.28,35,4.41,1604027383,TR,62
34,College,64.86,-147.8,15.8,90,6.93,1604027383,US,78
35,Qaqortoq,60.72,-46.03,30.2,78,2.24,1604027383,GL,86
36,Bowen,-20.02,148.23,93.2,0,12.75,1604027109,AU,28
37,Hilo,19.73,-155.09,78.8,90,4.7,1604027384,US,83
38,Boa Vista,2.82,-60.67,82.4,20,1.34,1604027384,BR,78
39,Avarua,-21.21,-159.78,75.2,97,8.05,1604027281,CK,73
40,Hervey Bay,-25.3,152.85,86.0,0,16.11,1604027384,AU,37
41,Lensk,60.73,114.93,18.63,98,1.21,1604027384,RU,92
42,Nikolskoye,59.7,30.79,50.0,90,4.47,1604027384,RU,93
43,Hirara,24.8,125.28,77.0,75,17.22,1604027324,JP,73
44,Port Alfred,-33.59,26.89,60.58,98,12.46,1604027385,ZA,65
45,Iqaluit,63.75,-68.51,4.44,7,9.6,1604027385,CA,90
46,Souillac,-20.52,57.52,72.0,19,10.0,1604027213,MU,57
47,Mataura,-46.19,168.86,61.0,100,4.0,1604027278,NZ,88
48,Mil'kovo,54.72,158.62,37.85,26,0.63,1604027385,RU,76
49,Deputatsky,69.3,139.9,3.99,100,1.03,1604027385,RU,96
50,Albany,42.6,-73.97,41.0,100,9.82,1604027385,US,90
52,Klaksvík,62.23,-6.59,48.2,100,32.21,1604027386,FO,93
53,Hamilton,39.18,-84.53,46.0,90,9.17,1604027217,US,87
54,Mwingi,-0.93,38.06,62.55,38,4.18,1604027386,KE,92
55,Buala,-8.14,159.59,81.57,100,9.8,1604027230,SB,77
56,Qaanaaq,77.48,-69.36,5.16,4,6.24,1604027386,GL,71
